2023-07-28 16:11:56 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.4.Final
2023-07-28 16:11:56 [main] INFO  com.microservices.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.7 on 4ba1d216f823 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-07-28 16:11:56 [main] INFO  com.microservices.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-07-28 16:11:57 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=f132b181-e022-3ed9-8208-0167d50773bd
2023-07-28 16:11:58 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8889 (http)
2023-07-28 16:11:58 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8889"]
2023-07-28 16:11:58 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-07-28 16:11:58 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-07-28 16:11:58 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-07-28 16:11:58 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2361 ms
2023-07-28 16:11:59 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@66ec4409, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2506e949, org.springframework.security.web.context.SecurityContextPersistenceFilter@76f2dad9, org.springframework.security.web.header.HeaderWriterFilter@715f45c6, org.springframework.security.web.csrf.CsrfFilter@47a7c93e, org.springframework.security.web.authentication.logout.LogoutFilter@79a201cf, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5a622fe8, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@63fd4dda, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@6f1c3f18, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@2eada095, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@72b0a004, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4cdba2ed, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4c531172, org.springframework.security.web.session.SessionManagementFilter@43245559, org.springframework.security.web.access.ExceptionTranslationFilter@562919fe, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1953bc95]
2023-07-28 16:11:59 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-07-28 16:11:59 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2023-07-28 16:11:59 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-07-28 16:11:59 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2023-07-28 16:11:59 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-07-28 16:11:59 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2023-07-28 16:12:03 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8889"]
2023-07-28 16:12:03 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8889 (http) with context path ''
2023-07-28 16:12:03 [main] INFO  com.microservices.ConfigServer - Started ConfigServer in 8.541 seconds (JVM running for 9.509)
2023-07-28 16:12:50 [SpringApplicationShutdownHook] INFO  o.a.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8889"]
2023-07-28 16:12:50 [SpringApplicationShutdownHook] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2023-07-28 16:27:57 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.4.Final
2023-07-28 16:27:58 [main] INFO  com.microservices.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.7 on 01eb4521d865 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-07-28 16:27:58 [main] INFO  com.microservices.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-07-28 16:27:59 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=f132b181-e022-3ed9-8208-0167d50773bd
2023-07-28 16:28:00 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8889 (http)
2023-07-28 16:28:00 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8889"]
2023-07-28 16:28:00 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-07-28 16:28:00 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-07-28 16:28:00 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-07-28 16:28:00 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2576 ms
2023-07-28 16:28:02 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@549ac12c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@188a5fc2, org.springframework.security.web.context.SecurityContextPersistenceFilter@ea00de, org.springframework.security.web.header.HeaderWriterFilter@10a18e3e, org.springframework.security.web.csrf.CsrfFilter@3cc053, org.springframework.security.web.authentication.logout.LogoutFilter@2d258eff, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@61149fa5, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@1ac6dd3d, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@1cb9ef52, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@3d9f0a5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@52f6900a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7bbcf6f0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5a622fe8, org.springframework.security.web.session.SessionManagementFilter@53aa2fc9, org.springframework.security.web.access.ExceptionTranslationFilter@6f9ab79d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6d6bff89]
2023-07-28 16:28:02 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-07-28 16:28:02 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2023-07-28 16:28:02 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-07-28 16:28:02 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2023-07-28 16:28:02 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-07-28 16:28:02 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2023-07-28 16:28:09 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8889"]
2023-07-28 16:28:09 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8889 (http) with context path ''
2023-07-28 16:28:09 [main] INFO  com.microservices.ConfigServer - Started ConfigServer in 12.755 seconds (JVM running for 13.388)
2023-07-28 16:30:22 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.4.Final
2023-07-28 16:30:22 [main] INFO  com.microservices.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.7 on 01eb4521d865 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-07-28 16:30:22 [main] INFO  com.microservices.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-07-28 16:30:23 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=f132b181-e022-3ed9-8208-0167d50773bd
2023-07-28 16:30:24 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8889 (http)
2023-07-28 16:30:24 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8889"]
2023-07-28 16:30:24 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-07-28 16:30:24 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-07-28 16:30:24 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-07-28 16:30:24 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1925 ms
2023-07-28 16:30:25 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5ac53c06, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@54af3cb9, org.springframework.security.web.context.SecurityContextPersistenceFilter@55c57422, org.springframework.security.web.header.HeaderWriterFilter@76f2dad9, org.springframework.security.web.csrf.CsrfFilter@53aa2fc9, org.springframework.security.web.authentication.logout.LogoutFilter@4e375bba, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4a89ef44, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@4a058df8, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@236fdf, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6f1c3f18, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@335f5c69, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@63fd4dda, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@16e99306, org.springframework.security.web.session.SessionManagementFilter@72b0a004, org.springframework.security.web.access.ExceptionTranslationFilter@42e4e589, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5a622fe8]
2023-07-28 16:30:25 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-07-28 16:30:25 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2023-07-28 16:30:25 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-07-28 16:30:25 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2023-07-28 16:30:25 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-07-28 16:30:25 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2023-07-28 16:30:27 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8889"]
2023-07-28 16:30:27 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8889 (http) with context path ''
2023-07-28 16:30:27 [main] INFO  com.microservices.ConfigServer - Started ConfigServer in 6.487 seconds (JVM running for 7.008)
2023-07-28 16:32:36 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.4.Final
2023-07-28 16:32:36 [main] INFO  com.microservices.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.7 on c018fc7e7d6e with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-07-28 16:32:36 [main] INFO  com.microservices.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-07-28 16:32:38 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=f132b181-e022-3ed9-8208-0167d50773bd
2023-07-28 16:32:38 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8889 (http)
2023-07-28 16:32:38 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8889"]
2023-07-28 16:32:38 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-07-28 16:32:38 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
