2023-06-19 16:38:30 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-06-19 16:38:30 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-19 16:38:30 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1112 ms
2023-06-19 16:38:30 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2ce03e86, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1c628f6a, org.springframework.security.web.context.SecurityContextPersistenceFilter@24c685e7, org.springframework.security.web.header.HeaderWriterFilter@114a5e0, org.springframework.security.web.csrf.CsrfFilter@66e21568, org.springframework.security.web.authentication.logout.LogoutFilter@778a1250, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@160e99e0, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@420a8042, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@9b47400, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@198536f6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2ed9f6f8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@251c4280, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@747835f5, org.springframework.security.web.session.SessionManagementFilter@5d508d22, org.springframework.security.web.access.ExceptionTranslationFilter@664e848c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5df7e31b]
2023-06-19 16:38:30 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-19 16:38:30 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2023-06-19 16:38:30 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-19 16:38:30 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2023-06-19 16:38:30 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-19 16:38:30 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2023-06-19 16:38:35 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-06-19 16:38:35 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-06-19 16:38:35 [main] INFO  com.microservices.ConfigServer - Started ConfigServer in 7.35 seconds (JVM running for 7.739)
2023-06-19 16:38:46 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-19 16:38:46 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-06-19 16:38:46 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
